aln	tcas	D.Symbol	D.Name	tcas_name	D.Chrom	seqnames	start	end	width	strand	product	Chrom
TcasGA2-TC007245	TcasGA2_TC007245	gnl|WGS:AAJJ|TC007245-PA	CG11248	uncharacterized protein Dmel_CG11248, isoform C	TcasGA2-TC007245	chromosome 3L	CM000279.2	6955639	6956082	444	-	hypothetical protein	4
TcasGA2-TC007246	TcasGA2_TC007246	gnl|WGS:AAJJ|TC007246-PA	CG5953	uncharacterized protein Dmel_CG5953, isoform D	TcasGA2-TC007246	chromosome 2L	CM000279.2	6952461	6953248	788	-	hypothetical protein	4
TcasGA2-TC007247	TcasGA2_TC007247	gnl|WGS:AAJJ|TC007247-PA	crq	croquemort, isoform C	TcasGA2-TC007247	chromosome 2L	CM000279.2	6945911	6950548	4638	-	croquemort	4
TcasGA2-TC007248	TcasGA2_TC007248	gnl|WGS:AAJJ|TC007248-PA	CG11970	uncharacterized protein Dmel_CG11970, isoform B	TcasGA2-TC007248	chromosome 3R	CM000279.2	6938088	6944578	6491	-	hypothetical protein	4
TcasGA2-TC007249	TcasGA2_TC007249	gnl|WGS:AAJJ|TC007249-PA	btsz	bitesize, isoform F	TcasGA2-TC007249	chromosome 3R	CM000279.2	6929754	6933932	4179	-	hypothetical protein	4
TcasGA2-TC007250	TcasGA2_TC007250	gnl|WGS:AAJJ|TC007250-PA	boi	brother of ihog, isoform G	TcasGA2-TC007250	chromosome X	CM000279.2	6906803	6937902	31100	-	Interference hedgehog-like Protein	4
TcasGA2-TC007251	TcasGA2_TC007251	gnl|WGS:AAJJ|TC007251-PA	Naa20A	N(alpha)-acetyltransferase 20 A, isoform C	TcasGA2-TC007251	chromosome X	CM000279.2	6892307	6893128	822	-	N-alpha-acetyltransferase 20-like Protein	4
TcasGA2-TC007252	TcasGA2_TC007252	gnl|WGS:AAJJ|TC007252-PA	Npc2h	Niemann-Pick type C-2h, isoform C	TcasGA2-TC007252	chromosome 3R	CM000279.2	6890481	6891318	838	-	MD-2-related lipid-recognition protein-like Protein	4
TcasGA2-TC007253	TcasGA2_TC007253	gnl|WGS:AAJJ|TC007253-PA	Fas2	fasciclin 2, isoform D	TcasGA2-TC007253	chromosome X	CM000279.2	6814623	6879647	65025	-	Fasciclin-2-like Protein	4
TcasGA2-TC007254	TcasGA2_TC007254	gnl|WGS:AAJJ|TC007254-PA	CG15252	uncharacterized protein Dmel_CG15252, isoform C	TcasGA2-TC007254	chromosome X	CM000279.2	6788740	6791843	3104	-	hypothetical protein	4
TcasGA2-TC007257	TcasGA2_TC007257	gnl|WGS:AAJJ|TC007257-PA	Dab	disabled, isoform F	TcasGA2-TC007257	chromosome 3L	CM000279.2	6759900	6763712	3813	-	hypothetical protein	4
TcasGA2-TC007258	TcasGA2_TC007258	gnl|WGS:AAJJ|TC007258-PA	CG9812	uncharacterized protein Dmel_CG9812, isoform D	TcasGA2-TC007258	chromosome 2R	CM000279.2	6753482	6757072	3591	-	hypothetical protein	4
TcasGA2-TC007261	TcasGA2_TC007261	gnl|WGS:AAJJ|TC007261-PA	Fie	fire exit, isoform B	TcasGA2-TC007261	chromosome 3L	CM000279.2	6718334	6720104	1771	-	hypothetical protein	4
TcasGA2-TC007262	TcasGA2_TC007262	gnl|WGS:AAJJ|TC007262-PA	Vajk2	Vajk2	TcasGA2-TC007262	chromosome 2L	CM000279.2	6708198	6709314	1117	-	hypothetical protein	4
TcasGA2-TC007263	TcasGA2_TC007263	gnl|WGS:AAJJ|TC007263-PA	CG31871	uncharacterized protein Dmel_CG31871	TcasGA2-TC007263	chromosome 2L	CM000279.2	6701088	6705704	4617	-	Lipase 3-like Protein	4
TcasGA2-TC007264	TcasGA2_TC007264	gnl|WGS:AAJJ|TC007264-PA	C901	C901	TcasGA2-TC007264	chromosome X	CM000279.2	6689794	6699714	9921	-	hypothetical protein	4
TcasGA2-TC007265	TcasGA2_TC007265	gnl|WGS:AAJJ|TC007265-PA	CG15414	uncharacterized protein Dmel_CG15414	TcasGA2-TC007265	chromosome 2L	CM000279.2	6678363	6681694	3332	-	hypothetical protein	4
TcasGA2-TC007266	TcasGA2_TC007266	gnl|WGS:AAJJ|TC007266-PA	Vajk2	Vajk2	TcasGA2-TC007266	chromosome 2L	CM000279.2	6674559	6675674	1116	-	hypothetical protein	4
TcasGA2-TC007267	TcasGA2_TC007267	gnl|WGS:AAJJ|TC007267-PA	Vajk2	Vajk2	TcasGA2-TC007267	chromosome 2L	CM000279.2	6670439	6671594	1156	-	hypothetical protein	4
TcasGA2-TC007268	TcasGA2_TC007268	gnl|WGS:AAJJ|TC007268-PA	Vajk2	Vajk2	TcasGA2-TC007268	chromosome 2L	CM000279.2	6667913	6669044	1132	-	hypothetical protein	4
TcasGA2-TC007269	TcasGA2_TC007269	gnl|WGS:AAJJ|TC007269-PA	Vajk2	Vajk2	TcasGA2-TC007269	chromosome 2L	CM000279.2	6665391	6666434	1044	-	hypothetical protein	4
TcasGA2-TC007270	TcasGA2_TC007270	gnl|WGS:AAJJ|TC007270-PA	Vajk4	Vajk4	TcasGA2-TC007270	chromosome 2R	CM000279.2	6662033	6662909	877	-	hypothetical protein	4
TcasGA2-TC007272	TcasGA2_TC007272	gnl|WGS:AAJJ|TC007272-PA	Vajk2	Vajk2	TcasGA2-TC007272	chromosome 2L	CM000279.2	6652540	6653374	835	-	hypothetical protein	4
TcasGA2-TC007273	TcasGA2_TC007273	gnl|WGS:AAJJ|TC007273-PA	Vajk2	Vajk2	TcasGA2-TC007273	chromosome 2L	CM000279.2	6639707	6641014	1308	-	hypothetical protein	4
TcasGA2-TC007274	TcasGA2_TC007274	gnl|WGS:AAJJ|TC007274-PA	Vajk2	Vajk2	TcasGA2-TC007274	chromosome 2L	CM000279.2	6636441	6637327	887	-	hypothetical protein	4
TcasGA2-TC007275	TcasGA2_TC007275	gnl|WGS:AAJJ|TC007275-PA	CG7031	uncharacterized protein Dmel_CG7031, isoform B	TcasGA2-TC007275	chromosome 3R	CM000279.2	6632352	6634717	2366	-	hypothetical protein	4
TcasGA2-TC007276	TcasGA2_TC007276	gnl|WGS:AAJJ|TC007276-PA	Nab2	nuclear polyadenosine RNA-binding 2	TcasGA2-TC007276	chromosome 3R	CM000279.2	6621432	6625774	4343	-	hypothetical protein	4
TcasGA2-TC007277	TcasGA2_TC007277	gnl|WGS:AAJJ|TC007277-PA	Npc2e	Niemann-Pick type C-2e	TcasGA2-TC007277	chromosome 3R	CM000279.2	6618999	6619714	716	-	hypothetical protein	4
TcasGA2-TC007281	TcasGA2_TC007281	gnl|WGS:AAJJ|TC007281-PA	CG10089	uncharacterized protein Dmel_CG10089, isoform A	TcasGA2-TC007281	chromosome 3L	CM000279.2	6591568	6593273	1706	-	Protein phosphatase Slingshot-like Protein	4
TcasGA2-TC007282	TcasGA2_TC007282	gnl|WGS:AAJJ|TC007282-PA	Sec61gamma	Sec61 gamma subunit, isoform B	TcasGA2-TC007282	chromosome X	CM000279.2	6584665	6586733	2069	-	Protein transport protein Sec61 gamma-1 subunit-like Protein	4
TcasGA2-TC007283	TcasGA2_TC007283	gnl|WGS:AAJJ|TC007283-PA	CG2247	uncharacterized protein Dmel_CG2247, isoform D	TcasGA2-TC007283	chromosome X	CM000279.2	6546569	6555236	8668	-	hypothetical protein	4
TcasGA2-TC007288	TcasGA2_TC007288	gnl|WGS:AAJJ|TC007288-PA	Setd3	SET domain containing 3	TcasGA2-TC007288	chromosome X	CM000279.2	6503769	6504646	878	-	Histone-lysine N-methyltransferase setd3-like Protein	4
TcasGA2-TC007292	TcasGA2_TC007292	gnl|WGS:AAJJ|TC007292-PA	Phm	Peptidylglycine-alpha-hydroxylating monooxygenase, isoform A	TcasGA2-TC007292	chromosome 2R	CM000279.2	6470303	6474937	4635	-	Peptidylglycine alpha-hydroxylating monooxygenase-like Protein	4
TcasGA2-TC007293	TcasGA2_TC007293	gnl|WGS:AAJJ|TC007293-PA	Cad86C	cadherin 86C, isoform E	TcasGA2-TC007293	chromosome 3R	CM000279.2	6468620	6469797	1178	-	hypothetical protein	4
TcasGA2-TC007294	TcasGA2_TC007294	gnl|WGS:AAJJ|TC007294-PA	CngB	cyclic nucleotide-gated ion channel subunit B, isoform B	TcasGA2-TC007294	chromosome 2R	CM000279.2	6454538	6454747	210	-	hypothetical protein	4
TcasGA2-TC007295	TcasGA2_TC007295	gnl|WGS:AAJJ|TC007295-PA	Pits	protein interacting with Ttk69 and Sin3A, isoform C	TcasGA2-TC007295	chromosome X	CM000279.2	6439389	6449707	10319	-	hypothetical protein	4
TcasGA2-TC007296	TcasGA2_TC007296	gnl|WGS:AAJJ|TC007296-PA	Caf1-180	chromatin assembly factor 1, p180 subunit	TcasGA2-TC007296	chromosome X	CM000279.2	6434658	6439337	4680	-	hypothetical protein	4
TcasGA2-TC007297	TcasGA2_TC007297	gnl|WGS:AAJJ|TC007297-PA	CG8785	uncharacterized protein Dmel_CG8785, isoform A	TcasGA2-TC007297	chromosome 2R	CM000279.2	6424353	6433057	8705	-	Proton-coupled amino acid transporter 4-like Protein	4
TcasGA2-TC007298	TcasGA2_TC007298	gnl|WGS:AAJJ|TC007298-PA	slpr	slipper, isoform C	TcasGA2-TC007298	chromosome X	CM000279.2	6395200	6420617	25418	-	Mitogen-activated protein kinase kinase kinase-like Protein	4
TcasGA2-TC007299	TcasGA2_TC007299	gnl|WGS:AAJJ|TC007299-PA	CG2278	uncharacterized protein Dmel_CG2278, isoform B	TcasGA2-TC007299	chromosome X	CM000279.2	6383065	6384457	1393	-	hypothetical protein	4
TcasGA2-TC007300	TcasGA2_TC007300	gnl|WGS:AAJJ|TC007300-PA	CG13003	uncharacterized protein Dmel_CG13003, isoform B	TcasGA2-TC007300	chromosome X	CM000279.2	6358600	6366257	7658	-	hypothetical protein	4
TcasGA2-TC007303	TcasGA2_TC007303	gnl|WGS:AAJJ|TC007303-PA	CG42813	uncharacterized protein Dmel_CG42813, isoform B	TcasGA2-TC007303	chromosome 3R	CM000279.2	6321657	6322488	832	-	Uridine diphosphate glucose pyrophosphatase-like Protein	4
TcasGA2-TC007304	TcasGA2_TC007304	gnl|WGS:AAJJ|TC007304-PA	Alg-2	Apoptosis-linked gene-2	TcasGA2-TC007304	chromosome 3R	CM000279.2	6317332	6318368	1037	-	Calpain-B-like Protein	4
TcasGA2-TC007305	TcasGA2_TC007305	gnl|WGS:AAJJ|TC007305-PA	subdued	subdued, isoform E	TcasGA2-TC007305	chromosome 3R	CM000279.2	6305271	6317218	11948	-	Anoctamin-1-like Protein	4
TcasGA2-TC007306	TcasGA2_TC007306	gnl|WGS:AAJJ|TC007306-PA	CG32603	uncharacterized protein Dmel_CG32603	TcasGA2-TC007306	chromosome X	CM000279.2	6297106	6297838	733	-	hypothetical protein	4
TcasGA2-TC007307	TcasGA2_TC007307	gnl|WGS:AAJJ|TC007307-PA	dpy	dumpy, isoform S	TcasGA2-TC007307	chromosome 2L	CM000279.2	6285477	6288808	3332	-	hypothetical protein	4
TcasGA2-TC007308	TcasGA2_TC007308	gnl|WGS:AAJJ|TC007308-PA	pcx	pecanex, isoform C	TcasGA2-TC007308	chromosome X	CM000279.2	6259522	6279698	20177	-	Pecanex-like protein 1	4
TcasGA2-TC007309	TcasGA2_TC007309	gnl|WGS:AAJJ|TC007309-PA	CG31036	uncharacterized protein Dmel_CG31036, isoform D	TcasGA2-TC007309	chromosome 3R	CM000279.2	6235351	6240580	5230	-	hypothetical protein	4
TcasGA2-TC007310	TcasGA2_TC007310	gnl|WGS:AAJJ|TC007310-PA	Cyp6a20	Cyp6a20	TcasGA2-TC007310	chromosome 2R	CM000279.2	6232756	6241556	8801	-	cytochrome P450 6BQ1	4
TcasGA2-TC007311	TcasGA2_TC007311	gnl|WGS:AAJJ|TC007311-PA	Cyp6a20	Cyp6a20	TcasGA2-TC007311	chromosome 2R	CM000279.2	6230593	6232416	1824	-	cytochrome P450 6BQ2	4
TcasGA2-TC007315	TcasGA2_TC007315	gnl|WGS:AAJJ|TC007315-PA	Cyp6a14	Cyp6a14, isoform E	TcasGA2-TC007315	chromosome 2R	CM000279.2	6221792	6223586	1795	-	cytochrome P450 6BQ6	4
TcasGA2-TC007316	TcasGA2_TC007316	gnl|WGS:AAJJ|TC007316-PA	Cyp6a2	cytochrome P450-6a2	TcasGA2-TC007316	chromosome 2R	CM000279.2	6219321	6221036	1716	-	cytochrome P450 6BQ7	4
TcasGA2-TC007317	TcasGA2_TC007317	gnl|WGS:AAJJ|TC007317-PA	Cyp6a2	cytochrome P450-6a2	TcasGA2-TC007317	chromosome 2R	CM000279.2	6216942	6219166	2225	-	cytochrome P450 6BQ8	4
TcasGA2-TC007320	TcasGA2_TC007320	gnl|WGS:AAJJ|TC007320-PA	Cyp6a23	Cyp6a23	TcasGA2-TC007320	chromosome 2R	CM000279.2	6212082	6213741	1660	-	cytochrome P450 6BQ10	4
TcasGA2-TC007321	TcasGA2_TC007321	gnl|WGS:AAJJ|TC007321-PA	Cyp6a2	cytochrome P450-6a2	TcasGA2-TC007321	chromosome 2R	CM000279.2	6209557	6211219	1663	-	cytochrome P450 6BQ11	4
TcasGA2-TC007322	TcasGA2_TC007322	gnl|WGS:AAJJ|TC007322-PA	Cyp6a2	cytochrome P450-6a2	TcasGA2-TC007322	chromosome 2R	CM000279.2	6206191	6208396	2206	-	cytochrome P450 6BQ12	4
TcasGA2-TC007323	TcasGA2_TC007323	gnl|WGS:AAJJ|TC007323-PA	rdgB	retinal degeneration B, isoform E	TcasGA2-TC007323	chromosome X	CM000279.2	6183554	6183907	354	-	hypothetical protein	4
TcasGA2-TC007324	TcasGA2_TC007324	gnl|WGS:AAJJ|TC007324-PA	RpL10Ab	ribosomal protein L10Ab, isoform A	TcasGA2-TC007324	chromosome 3L	CM000279.2	6169361	6170706	1346	-	60S ribosomal protein L10a-2-like Protein	4
TcasGA2-TC007325	TcasGA2_TC007325	gnl|WGS:AAJJ|TC007325-PA	Ptp52F	protein tyrosine phosphatase 52F	TcasGA2-TC007325	chromosome 2R	CM000279.2	6162889	6168666	5778	-	Tyrosine-protein phosphatase 10D-like Protein	4
TcasGA2-TC007326	TcasGA2_TC007326	gnl|WGS:AAJJ|TC007326-PA	CG16959	uncharacterized protein Dmel_CG16959, isoform A	TcasGA2-TC007326	chromosome 3L	CM000279.2	6150879	6155066	4188	-	hypothetical protein	4
TcasGA2-TC007327	TcasGA2_TC007327	gnl|WGS:AAJJ|TC007327-PA	Clp	clipper	TcasGA2-TC007327	chromosome 2L	CM000279.2	6140556	6143036	2481	-	Zinc finger CCCH domain-containing protein 11A-like Protein	4
TcasGA2-TC007331	TcasGA2_TC007331	gnl|WGS:AAJJ|TC007331-PA	CG9427	uncharacterized protein Dmel_CG9427, isoform A	TcasGA2-TC007331	chromosome 3R	CM000279.2	6061382	6062426	1045	-	GILT-like protein F37H8.5	4
TcasGA2-TC007332	TcasGA2_TC007332	gnl|WGS:AAJJ|TC007332-PA	CG11752	uncharacterized protein Dmel_CG11752	TcasGA2-TC007332	chromosome X	CM000279.2	6057324	6057650	327	-	hypothetical protein	4
TcasGA2-TC007333	TcasGA2_TC007333	gnl|WGS:AAJJ|TC007333-PA	CG14636	uncharacterized protein Dmel_CG14636, isoform B	TcasGA2-TC007333	chromosome 3R	CM000279.2	6036870	6053976	17107	-	hypothetical protein	4
TcasGA2-TC007334	TcasGA2_TC007334	gnl|WGS:AAJJ|TC007334-PA	CG32532	uncharacterized protein Dmel_CG32532, isoform B	TcasGA2-TC007334	chromosome X	CM000279.2	6013915	6014310	396	-	hypothetical protein	4
TcasGA2-TC007335	TcasGA2_TC007335	gnl|WGS:AAJJ|TC007335-PA	CG32532	uncharacterized protein Dmel_CG32532, isoform B	TcasGA2-TC007335	chromosome X	CM000279.2	5998292	6006266	7975	-	ALX homeobox protein 1-like Protein	4
TcasGA2-TC007336	TcasGA2_TC007336	gnl|WGS:AAJJ|TC007336-PA	CoRest	CoRest, isoform F	TcasGA2-TC007336	chromosome X	CM000279.2	5989301	5994926	5626	-	REST corepressor-like Protein	4
TcasGA2-TC007337	TcasGA2_TC007337	gnl|WGS:AAJJ|TC007337-PA	lin-52	lin-52, isoform B	TcasGA2-TC007337	chromosome X	CM000279.2	5984150	5985136	987	-	Protein lin-52 homolog-like Protein	4
TcasGA2-TC007338	TcasGA2_TC007338	gnl|WGS:AAJJ|TC007338-PA	CG17028	uncharacterized protein Dmel_CG17028, isoform B	TcasGA2-TC007338	chromosome 3L	CM000279.2	5971242	5971443	202	-	hypothetical protein	4
TcasGA2-TC007340	TcasGA2_TC007340	gnl|WGS:AAJJ|TC007340-PA	CG17122	uncharacterized protein Dmel_CG17122	TcasGA2-TC007340	chromosome 3L	CM000279.2	5959719	5961696	1978	-	hypothetical protein	4
TcasGA2-TC007342	TcasGA2_TC007342	gnl|WGS:AAJJ|TC007342-PA	Obp56d	Odorant-binding protein 56d, isoform B	TcasGA2-TC007342	chromosome 2R	CM000279.2	5923188	5923592	405	-	odorant binding protein C15	4
TcasGA2-TC007344	TcasGA2_TC007344	gnl|WGS:AAJJ|TC007344-PA	Top3beta	topoisomerase 3beta, isoform B	TcasGA2-TC007344	chromosome X	CM000279.2	5871397	5876636	5240	-	DNA topoisomerase 3-beta-like Protein	4
TcasGA2-TC007345	TcasGA2_TC007345	gnl|WGS:AAJJ|TC007345-PA	mamo	maternal gene required for meiosis, isoform G	TcasGA2-TC007345	chromosome X	CM000279.2	5855090	5856776	1687	-	hypothetical protein	4
TcasGA2-TC007346	TcasGA2_TC007346	gnl|WGS:AAJJ|TC007346-PA	Tpi	triose phosphate isomerase, isoform B	TcasGA2-TC007346	chromosome 3R	CM000279.2	5841049	5842066	1018	-	Triosephosphate isomerase-like Protein	4
TcasGA2-TC007347	TcasGA2_TC007347	gnl|WGS:AAJJ|TC007347-PA	Dlip2	dorsal interacting protein 2	TcasGA2-TC007347	chromosome 3R	CM000279.2	5835841	5838561	2721	-	hypothetical protein	4
TcasGA2-TC007348	TcasGA2_TC007348	gnl|WGS:AAJJ|TC007348-PA	ZnT49B	zinc transporter 49B, isoform A	TcasGA2-TC007348	chromosome 2R	CM000279.2	5813207	5818156	4950	-	Zinc transporter 9-like Protein	4
TcasGA2-TC007349	TcasGA2_TC007349	gnl|WGS:AAJJ|TC007349-PA	CG8646	uncharacterized protein Dmel_CG8646	TcasGA2-TC007349	chromosome 2R	CM000279.2	5810039	5812116	2078	-	Arylsulfatase I-like Protein	4
TcasGA2-TC007350	TcasGA2_TC007350	gnl|WGS:AAJJ|TC007350-PA	CG9646	uncharacterized protein Dmel_CG9646, isoform A	TcasGA2-TC007350	chromosome 2R	CM000279.2	5805875	5808456	2582	-	hypothetical protein	4
TcasGA2-TC007351	TcasGA2_TC007351	gnl|WGS:AAJJ|TC007351-PA	fat-spondin	fat-spondin	TcasGA2-TC007351	chromosome 2R	CM000279.2	5803087	5805756	2670	-	Spondin-1-like Protein	4
TcasGA2-TC007352	TcasGA2_TC007352	gnl|WGS:AAJJ|TC007352-PA	CG12605	uncharacterized protein Dmel_CG12605, isoform D	TcasGA2-TC007352	chromosome 3L	CM000279.2	5801035	5803016	1982	-	hypothetical protein	4
TcasGA2-TC007353	TcasGA2_TC007353	gnl|WGS:AAJJ|TC007353-PA	CG4646	uncharacterized protein Dmel_CG4646, isoform B	TcasGA2-TC007353	chromosome 2R	CM000279.2	5800129	5800986	858	-	UPF0587 protein CG4646-like Protein	4
TcasGA2-TC007355	TcasGA2_TC007355	gnl|WGS:AAJJ|TC007355-PA	CG30484	uncharacterized protein Dmel_CG30484	TcasGA2-TC007355	chromosome 2R	CM000279.2	5778380	5778571	192	-	hypothetical protein	4
TcasGA2-TC007357	TcasGA2_TC007357	gnl|WGS:AAJJ|TC007357-PA	POSH	plenty of SH3s	TcasGA2-TC007357	chromosome 2R	CM000279.2	5762652	5773036	10385	-	plenty of SH3s	4
TcasGA2-TC007358	TcasGA2_TC007358	gnl|WGS:AAJJ|TC007358-PA	Ndf	Nucleosome-destabilizing factor, isoform C	TcasGA2-TC007358	chromosome 2L	CM000279.2	5754014	5760760	6747	-	Putative oxidoreductase GLYR1-like Protein	4
TcasGA2-TC007359	TcasGA2_TC007359	gnl|WGS:AAJJ|TC007359-PA	Ndf	Nucleosome-destabilizing factor, isoform C	TcasGA2-TC007359	chromosome 2L	CM000279.2	5744150	5747823	3674	-	Putative oxidoreductase GLYR1 homolog-like Protein	4
TcasGA2-TC007360	TcasGA2_TC007360	gnl|WGS:AAJJ|TC007360-PA	tej	tejas	TcasGA2-TC007360	chromosome 2R	CM000279.2	5703277	5741193	37917	-	hypothetical protein	4
TcasGA2-TC007364	TcasGA2_TC007364	gnl|WGS:AAJJ|TC007364-PA	RpS2	ribosomal protein S2, isoform B	TcasGA2-TC007364	chromosome 2L	CM000279.2	5660386	5662104	1719	-	40S ribosomal protein S2-like Protein	4
TcasGA2-TC007367	TcasGA2_TC007367	gnl|WGS:AAJJ|TC007367-PA	SCAP	SREBP cleavage activating protein	TcasGA2-TC007367	chromosome 2R	CM000279.2	5625452	5625799	348	-	hypothetical protein	4
TcasGA2-TC007368	TcasGA2_TC007368	gnl|WGS:AAJJ|TC007368-PA	Rcd6	reduction in Cnn dots 6, isoform B	TcasGA2-TC007368	chromosome 2R	CM000279.2	5552405	5556969	4565	-	hypothetical protein	4
TcasGA2-TC007369	TcasGA2_TC007369	gnl|WGS:AAJJ|TC007369-PA	CG13377	uncharacterized protein Dmel_CG13377, isoform B	TcasGA2-TC007369	chromosome X	CM000279.2	5546036	5552544	6509	-	D-beta-hydroxybutyrate dehydrogenase, mitochondrial-like Protein	4
TcasGA2-TC007370	TcasGA2_TC007370	gnl|WGS:AAJJ|TC007370-PA	InR	Insulin-like receptor, isoform B	TcasGA2-TC007370	chromosome 3R	CM000279.2	5510944	5539984	29041	-	insulin-like growth factor receptor	4
TcasGA2-TC007371	TcasGA2_TC007371	gnl|WGS:AAJJ|TC007371-PA	InR	Insulin-like receptor, isoform B	TcasGA2-TC007371	chromosome 3R	CM000279.2	5507120	5509523	2404	-	Insulin-like receptor	4
TcasGA2-TC007373	TcasGA2_TC007373	gnl|WGS:AAJJ|TC007373-PA	nxf2	nuclear RNA export factor 2, isoform A	TcasGA2-TC007373	chromosome 3L	CM000279.2	5379890	5382374	2485	-	Nuclear RNA export factor 2-like Protein	4
TcasGA2-TC007374	TcasGA2_TC007374	gnl|WGS:AAJJ|TC007374-PA	SdhA	succinate dehydrogenase, subunit A (flavoprotein), isoform A	TcasGA2-TC007374	chromosome 2R	CM000279.2	5377435	5379834	2400	-	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial-like Protein	4
TcasGA2-TC007375	TcasGA2_TC007375	gnl|WGS:AAJJ|TC007375-PA	CG11417	uncharacterized protein Dmel_CG11417	TcasGA2-TC007375	chromosome X	CM000279.2	5373362	5375394	2033	-	ESF1 homolog-like Protein	4
TcasGA2-TC007376	TcasGA2_TC007376	gnl|WGS:AAJJ|TC007376-PA	Coq8	coenzyme Q8	TcasGA2-TC007376	chromosome X	CM000279.2	5364751	5370122	5372	-	Chaperone activity of bc1 complex-like, mitochondrial	4
TcasGA2-TC007377	TcasGA2_TC007377	gnl|WGS:AAJJ|TC007377-PA	CG9581	uncharacterized protein Dmel_CG9581	TcasGA2-TC007377	chromosome X	CM000279.2	5355470	5361294	5825	-	Kielin/chordin-like protein	4
TcasGA2-TC007378	TcasGA2_TC007378	gnl|WGS:AAJJ|TC007378-PA	CG32645	uncharacterized protein Dmel_CG32645	TcasGA2-TC007378	chromosome X	CM000279.2	5345050	5345464	415	-	hypothetical protein	4
TcasGA2-TC007379	TcasGA2_TC007379	gnl|WGS:AAJJ|TC007379-PA	Ank	ankyrin, isoform E	TcasGA2-TC007379	chromosome 4	CM000279.2	5343001	5343792	792	-	hypothetical protein	4
TcasGA2-TC007381	TcasGA2_TC007381	gnl|WGS:AAJJ|TC007381-PA	wgn	wengen, isoform A	TcasGA2-TC007381	chromosome X	CM000279.2	5298459	5323059	24601	-	hypothetical protein	4
TcasGA2-TC007382	TcasGA2_TC007382	gnl|WGS:AAJJ|TC007382-PA	CG12769	uncharacterized protein Dmel_CG12769, isoform B	TcasGA2-TC007382	chromosome 2R	CM000279.2	5291788	5296813	5026	-	hypothetical protein	4
TcasGA2-TC007383	TcasGA2_TC007383	gnl|WGS:AAJJ|TC007383-PA	Nup50	nucleoporin 50kD	TcasGA2-TC007383	chromosome 2R	CM000279.2	5290179	5291703	1525	-	hypothetical protein	4
TcasGA2-TC007385	TcasGA2_TC007385	gnl|WGS:AAJJ|TC007385-PA	FucTB	alpha1,3-fucosyltransferase B, isoform D	TcasGA2-TC007385	chromosome 2L	CM000279.2	5275368	5277163	1796	-	Alpha-(1,3)-fucosyltransferase B-like Protein	4
TcasGA2-TC007386	TcasGA2_TC007386	gnl|WGS:AAJJ|TC007386-PA	spoon	spoonbill, isoform E	TcasGA2-TC007386	chromosome X	CM000279.2	5235162	5246726	11565	-	hypothetical protein	4
TcasGA2-TC007387	TcasGA2_TC007387	gnl|WGS:AAJJ|TC007387-PA	CG15239	uncharacterized protein Dmel_CG15239	TcasGA2-TC007387	chromosome X	CM000279.2	5221375	5221500	126	-	hypothetical protein	4
TcasGA2-TC007388	TcasGA2_TC007388	gnl|WGS:AAJJ|TC007388-PA	Egfr	epidermal growth factor receptor, isoform A	TcasGA2-TC007388	chromosome 2R	CM000279.2	5216507	5216656	150	-	hypothetical protein	4
TcasGA2-TC007391	TcasGA2_TC007391	gnl|WGS:AAJJ|TC007391-PA	nclb	no child left behind	TcasGA2-TC007391	chromosome 2R	CM000279.2	5118577	5123346	4770	-	hypothetical protein	4
TcasGA2-TC007393	TcasGA2_TC007393	gnl|WGS:AAJJ|TC007393-PA	cN-IIIB	cytosolic 5\\'-nucleotidase IIIB	TcasGA2-TC007393	chromosome 2R	CM000279.2	5080644	5084411	3768	-	7-methylguanosine phosphate-specific 5'-nucleotidase-like Protein	4
TcasGA2-TC007394	TcasGA2_TC007394	gnl|WGS:AAJJ|TC007394-PA	CG34203	uncharacterized protein Dmel_CG34203	TcasGA2-TC007394	chromosome 2R	CM000279.2	5075150	5080241	5092	-	hypothetical protein	4
TcasGA2-TC007395	TcasGA2_TC007395	gnl|WGS:AAJJ|TC007395-PA	Mpi	mannose phosphate isomerase	TcasGA2-TC007395	chromosome 3R	CM000279.2	5073529	5075051	1523	-	Mannose-6-phosphate isomerase-like Protein	4
TcasGA2-TC007396	TcasGA2_TC007396	gnl|WGS:AAJJ|TC007396-PA	nSMase	neutral sphingomyelinase	TcasGA2-TC007396	chromosome 3L	CM000279.2	5067230	5068781	1552	-	Putative neutral sphingomyelinase-like Protein	4
TcasGA2-TC007397	TcasGA2_TC007397	gnl|WGS:AAJJ|TC007397-PA	Cnx99A	calnexin 99A, isoform D	TcasGA2-TC007397	chromosome 3R	CM000279.2	5063429	5067161	3733	-	Calreticulin-like Protein	4
TcasGA2-TC007398	TcasGA2_TC007398	gnl|WGS:AAJJ|TC007398-PA	XRCC1	XRCC1	TcasGA2-TC007398	chromosome X	CM000279.2	5059233	5061631	2399	-	hypothetical protein	4
TcasGA2-TC007399	TcasGA2_TC007399	gnl|WGS:AAJJ|TC007399-PA	tacc	transforming acidic coiled-coil protein, isoform L	TcasGA2-TC007399	chromosome 3R	CM000279.2	5052324	5053031	708	-	hypothetical protein	4
TcasGA2-TC007402	TcasGA2_TC007402	gnl|WGS:AAJJ|TC007402-PA	Cpr62Bb	cuticular protein 62Bb, isoform B	TcasGA2-TC007402	chromosome 3L	CM000279.2	5034499	5035291	793	-	hypothetical protein	4
